Sample #,Section,Transformation type,Mean FITC (GFP)
504,C01,HDR4: In_pGK1_yUKG1,"32,594.79"
513,C01,HDR5: In_pGK1_Staygold,"8,764.21"
514,C01,HDR6:In_pGK1_yStaygold,"5,829.16"
516,C01,HDR7:In_pTDH3_mUKG1,"18,681.91"
519,C01,HDR8: In_pTDH3_yUKG1,"50,919.29"
527,C01,HDR10: In_pTDH3_yStaygold,"12,950.69"
529,C01,HDR7:In_pTDH3_mUKG1,"29,383.69"
532,C01,HDR11: In_pTef1_mUKG1,"10,845.95"
533,C01,HDR12: In_pTef1_yUKG1,"2,520.28"
540,C01,HDR13: In_pTef1_Staygold,"5,376.48"
541,C01,HDR14: In_pTef1_yStaygold,"4,955.91"
549,C01,HDR6:In_pGK1_yStaygold,"1,538.43"
550,C01,HDR6:In_pGK1_yStaygold,"2,431.74"
556,C01,HDR14: In_pTef1_yStaygold,"4,448.73"
563,C01,HDR10: In_pTDH3_yStaygold,"1,958.11"
564,C01,HDR4: In_pGK1_yUKG1,"18,140.61"
565,C01,HDR1: In_ymUkG1,"3,756.83"
572,C01,HDR12: In_pTef1_yUKG1,"13,547.52"
573,C01,HDR8: In_pTDH3_yUKG1,"2,617.40"
580,C01,HDR3: In_pGK1_mUKG1,"20,274.64"
583,C01,HDR5: In_pGK1_Staygold,"2,703.50"
590,C01,HDR13: In_pTef1_Staygold,"5,731.84"
592,C01,HDR11: In_pTef1_mUKG1,"10,987.49"
600,C02,HDR6:In_pGK1_yStaygold,"7,268.82"
602,C02,HDR5: In_pGK1_Staygold,"8,926.83"
608,C02,HDR4: In_pGK1_yUKG1,"29,699.38"
609,C02,HDR4: In_pGK1_yUKG1,"21,714.16"
614,C02,HDR10: In_pTDH3_yStaygold,"13,787.41"
616,C02,HDR8: In_pTDH3_yUKG1,"1,874.93"
619,C02,HDR7:In_pTDH3_mUKG1,"16,248.67"
627,C02,HDR9: In_pTDH3_Staygold,874.57
630,C02,HDR14: In_pTef1_yStaygold,"2,412.46"
631,C02,HDR13: In_pTef1_Staygold,"3,859.67"
637,C02,HDR14: In_pTef1_yStaygold,"4,805.10"
639,C02,HDR13: In_pTef1_Staygold,"1,970.38"
648,C02,HDR4: In_pGK1_yUKG1,"20,634.99"
652,C02,HDR6:In_pGK1_yStaygold,"6,861.31"
656,C02,HDR14: In_pTef1_yStaygold,"5,546.08"
660,C02,HDR2: In_yStayGold,"2,722.34"
665,C02,HDR10: In_pTDH3_yStaygold,"11,036.60"
670,C02,HDR8: In_pTDH3_yUKG1,"30,365.17"
674,C02,HDR1: In_ymUkG1,"3,606.53"
679,C02,HDR8: In_pTDH3_yUKG1,"45,166.18"
687,C02,HDR4: In_pGK1_yUKG1,"26,295.93"
688,C02,HDR8: In_pTDH3_yUKG1,"26,507.45"